STATION,AGENT,NETWORK,LATITUDE,LONGITUDE,ELEVATION,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,YEARS
Afaimalu,6048,J76204,-13.917,-171.783,796,720,626,674,400,300,273,204,245,265,450,537,581,5275,17
Alafua,6045,J76201,-13.85,-171.783,65,495,410,462,269,196,150,119,145,148,247,269,424,3334,15
Alaoa,6058,J76214,-13.915,-171.75,300,586.5,462,474,299,236,175,136,152,158,309,284,463,3734.5,27
Apia,6044,J76200,-13.815,-171.7806,2,433.1,368.6,356.5,240.9,187.4,136.9,105.9,104.2,141.2,211.3,266.9,369.8,2922.7,105
Asau,6035,J76000,-13.5489,-172.661,4,459,355,373,219,85,71,43,92,55,154,197,407,2510,14
Asau Forest,6036,J76001,-13.553,-172.71,328,518,427,486,472,133,100,86,111,75,226,497,386,3517,6
Avele Farm,6047,J76203,-13.867,-171.75,213,457,454,465,209,223,169,116,118,161,283,333,425,3413,10
Fagamalo,6041,J76006,-13.443,-172.355,3,521,376,428,279,238,224,164,167,189,321,317,454,3678,28
Falealupo,6038,J76003,-13.503,-172.79,5,392,231,306,159,88,69,62,90,63,177,206,248,2091,17
Falelatai,6033,J75902,-13.906,-172.045,27,246,286,371,287,278,173,131,151,143,282,294,268,2910,14
Falelima,6037,J76002,-13.567,-172.757,3,269,488.3,225.5,310.3,249.5,85.2,69.2,135.1,174.3,341.4,307.6,265.4,2920.8,4
Fasito Outa,6032,J75901,-13.812,-171.94,20,324.4,463.2,275,174.8,195,73.4,78.7,169.9,127.3,237.3,140.8,345,2604.8,4
Laulii,6050,J76206,-13.862,-171.708,5,568,427,428,244,206,228,123,177,192,320,381,415,3709,14
Lemafa1,6052,J76208,-13.95,-171.583,473,561,401,325,294,287,325,310,348,439,621,581,523,5015,9
Lotofaga,6055,J76211,-14.039,-171.558,9,314,280,276,267,386,278,255,304,417,424,389,322,3912,45
Maota,36838,J76009,-13.742,-172.279,45,317.5,349.1,268.4,253.5,242.2,166.9,200.4,233.8,222.7,388.7,308.3,335.7,3287.2,1
Moamoa,6051,J76207,-13.865,-171.81,200,519,370,485,275,203,137,118,146,159,274,279,474,3439,18
Nafanua,6046,J76202,-13.855,-171.763,128,479,374,449,227,157,183,115,128,145,270,261,450,3238,14
Salailua,6039,J76004,-13.719,-172.594,3,317.5,300,237,247,173,166,146,220,234,394,374,274,3082.5,23
Sataoa,6053,J76209,-13.983,-171.882,15,294,250,336,366,240,211,203,286,341,348,362,205,3442,12
Satupaitea,6040,J76005,-13.768,-172.345,6,262,193,221,193,236,216,206,249,298,378,356,270,3078,29
Savaia,6034,J75903,-13.953,-171.96,3,500,329.2,315,331.5,333.1,247.2,219.1,356.8,271.9,500.6,359.2,289.8,4053.4,13
Tailematao L,6042,J76007,-13.617,-172.257,250,616.8,643.2,542.7,479.9,468.5,299.6,284.7,493.3,417.9,739.8,465,650.3,6101.7,4
Togitogiga,6049,J76205,-14.016,-171.717,148,676,332.4,258.1,345.3,409.2,338.6,280.1,240.8,370.9,591.6,378.5,392.5,4614,5
Togitogiga,6056,J76212,-14,-171.717,30,427.7,325.6,346.1,337.3,471.7,326.9,297.6,358.7,323.1,521.3,408.1,467.4,4611.5,2
Togitogiga Ag,6057,J76213,-14.017,-171.717,100,326.4,334.2,237.5,359.8,568.4,344.3,452.1,557.6,270.3,798.6,347,414.1,5010.3,5
Togitogiga Cf,6054,J76210,-13.983,-171.717,250,397.4,365.3,365,398.1,386.1,369.5,559.9,567.7,657.9,762.8,534,517.5,5881.2,6
Vaiaata,6043,J76008,-13.65,-172.217,200,650,203,612.7,342.4,228.4,226.6,379.8,293.3,145.1,672.7,547.2,433.9,4735.1,1
Faleolo,6031,J75900,-13.832,-172.025,4,322,266,268,172,158,109,83,157,122,220,204,272,2353,23
Palauli,9999,J99999,-13.757,-172.315,10,279,206,236,206,252,230,220,265,318,403,379,288,3282,15
Tuasivi,9998,J99999,-13.68,-172.2,10,294,229,290,216,191,137,152,149,176,274,319,299,2726,15
Afulilo,1,9999,-13.9635,-171.561,387,569.133,458.674,487.603,366.818,446.135,290.668,337.376,284.744,329.726,407.035,427.338,548.366,4953.616,34
Faleaseela,2,9999,-13.9126,-171.957,296,544.219355,485.825807,407.773333,326.832258,300.587097,149.67,218.18,198.778125,204.85,374.89375,397.21875,448.951613,4057.780087,32
Lanotoo,3,9999,-13.9113,-171.819,772,727.328571,582.211429,511.197143,329.167647,310.1,211.005714,227.382857,177.357143,250.288571,380.414286,419.025714,533.542857,4659.021933,35
Lemafa2,10,9999,-13.9542,-171.599,473,648.242857,527.042857,502.671429,360.833333,395.58,301.986667,341.585714,297.023077,293.884615,422.428571,438.946154,404.792308,4935.017582,15
Mt Sigaele,4,9999,-13.8941,-171.875,593,704.282857,552.617143,510.417143,317.428571,326.557143,196.022857,225.448571,182.625714,196.46,359.037143,392.317143,566.885714,4530.1,35
Piula,6,9999,-13.879,-171.591,6,286.48,263.94,418.133333,428.866667,380.633333,163.5,150.216667,154.133333,225.042857,275.028571,437.06,401.916667,3584.951429,7
Sopoaga,9,9999,-14.006,-171.589,166,552.311765,388.894118,404.405882,353.564706,378.347059,335.164706,459.788235,370.594118,331.994118,497.911765,484.329412,517.611765,5074.917647,17
Tanumalala,5,9999,-13.899,-171.939,359,568.275758,487.757576,459.927273,366.221212,297.815152,175.693939,191.47697,165.9375,193.524242,331.315152,342.393939,493.263636,4073.602349,33
Tiavea,7,9999,-13.989,-171.473,313,462.407143,331.015385,424.892308,308.114286,361.678571,276.133333,345.676923,280.438462,274.058333,361.890909,341.169231,406.05,4173.524883,15
Vaipu Saddle,8,9999,-13.9637,-171.582,239,598.88125,515.74375,552.9125,402.3875,464.45625,277.06,343.45,318.353333,227.806667,428.08,543.08125,612.75625,5284.96875,16
Dummy Station 1,,,-13.64,-172.5,800,,,,,,,,,,,,,6666,
